id,createdAt,updateAt,district,cityId,deletedAt
ba82e5f5-826d-467a-8f44-d45786a0aab0,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Abang,33303f10-dedd-4341-936a-c17d2a988fc8,
baa1cc84-dd20-4769-b7d2-4d8ebf7c43ba,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Sukawati,07a4b579-5491-4ac5-b54e-1247d398538d,
c4347d71-4a82-49df-a152-810739ce0fde,2025-10-30 11:58:18.237936,2025-10-30 11:58:18.237936,Degas Jawa,de754310-b2c3-48ee-a94f-b35c3338e261,
c8627bf3-acb9-4765-98f0-43a29f07324c,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Kerambitan,867dde5f-5cbb-4fcc-8185-d6c339872190,
ca858e1a-c7e4-4622-97b6-86432ac25322,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Tampaksiring,07a4b579-5491-4ac5-b54e-1247d398538d,
cdccc671-5d55-421f-b9f1-25219b364724,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Denpasar Timur,de754310-b2c3-48ee-a94f-b35c3338e261,
cf362c97-4013-41b1-b93e-fd7c8910fb0f,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Pekutatan,63a922c6-3a3a-492b-a469-e727b95e0e0e,
d0d260bb-50cb-483d-85fa-4e4d1af182bf,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Baturiti,867dde5f-5cbb-4fcc-8185-d6c339872190,
d8875bc4-ee33-448f-8a7c-7efd733d13c2,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Mengwi,dbd580c3-9512-41d1-93f3-a1f57bf8445d,
d9788601-dd9f-4dee-8f03-39319c4ff96e,2025-08-06 11:21:05,2025-08-06 03:21:59.227429,Canggu,dbd580c3-9512-41d1-93f3-a1f57bf8445d,
da9ac623-d3e3-4ffa-bc20-f2d49ad56dd4,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Jembrana,63a922c6-3a3a-492b-a469-e727b95e0e0e,
dd37728b-adc0-4201-9f3f-1784c76d3487,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Abiansemal,dbd580c3-9512-41d1-93f3-a1f57bf8445d,
df8e93c6-da4e-4d40-932f-ae979e6d95d9,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Kubutambahan,67f6d80e-bd2b-44e7-92da-3b95c0ed2ede,
e2754604-07c1-4c1f-b7df-03239544aa0f,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Kuta,dbd580c3-9512-41d1-93f3-a1f57bf8445d,
e449223f-d88e-4cec-832b-e076bc4b48ac,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Gianyar,07a4b579-5491-4ac5-b54e-1247d398538d,
